Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
3 = Part B
5 = Part D"
66142,VT#HSI  RP2211Y,Callable Bull/Bear Contracts,,"10,000",,CH1206715091,29/11/2022,,,,,,,Y,,,,,1
66159,JP#HSI  RP2302A,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0IA05,27/02/2023,,,,,,,Y,,,,,1
66161,JP#HSI  RP2304Z,Callable Bull/Bear Contracts,,"10,000",,NLJPMSP0H9Z5,27/04/2023,,,,,,,Y,,,,,1
66171,BP#CNOOCRC2312C,Callable Bull/Bear Contracts,,"10,000",,NLBNPHK155I0,28/12/2023,,,,,,,Y,,,,,1
66177,BP#BYD  RP2312G,Callable Bull/Bear Contracts,,"250,000",,NLBNPHK155M2,28/12/2023,,,,,,,Y,,,,,1
66180,BP#XIAMIRP2311B,Callable Bull/Bear Contracts,,"2,000",,NLBNPHK155N0,29/11/2023,,,,,,,Y,,,,,1
66187,UB#C MOBRP2211B,Callable Bull/Bear Contracts,,"5,000",,CH1180163854,23/11/2022,,,,,,,Y,,,,,1
66218,CS#HSI  RP2212E,Callable Bull/Bear Contracts,,"10,000",,CH1203339168,29/12/2022,,,,,,,Y,,,,,1
66250,UB#HSI  RP2302G,Callable Bull/Bear Contracts,,"10,000",,CH1209973846,27/02/2023,,,,,,,Y,,,,,1
66252,SG#SMIC RP2306B,Callable Bull/Bear Contracts,,"2,500",,,30/06/2023,,,,,,,Y,,,,,1
66279,SG#GEELYRP2303E,Callable Bull/Bear Contracts,,"5,000",,,31/03/2023,,,,,,,Y,,,,,1
66282,SG#LININRP2304A,Callable Bull/Bear Contracts,,"5,000",,,27/04/2023,,,,,,,Y,,,,,1
66290,UB#SMORERP2212B,Callable Bull/Bear Contracts,,"10,000",,CH1169720252,23/12/2022,,,,,,,Y,,,,,1
